,WEBSTER AV/E TREMONT AV,MELROSE AV/E 150 ST,WEBSTER AV/E 204 ST,WHITE PLAINS RD/E GUN HILL RD,WEBSTER AV/BEDFORD PK BL,3 AVE/E 148 ST,WEBSTER AV/E FORDHAM RD,WEBSTER AV/E GUN HILL RD,WEBSTER AV/CLAREMONT PY,MELROSE AV/E 161 ST,WEBSTER AV/CLAREMONT PKWY,WEBSTER AV/E GUN HILL AV,WEBSTER AV/E 170 ST,WEBSTER AV/FORDHAM RD,WEBSTER AV/E 180 ST,WEBSTER AV/E 167 ST,MELROSE AV/E 160 ST,West Farms Depot (WF)
WEBSTER AV/E TREMONT AV,,,,,,,,,1.712 SELECT BUS THE HUB 3AV - 149ST,,,,,,0.746 SELECT BUS WLIMSBRIDGE GUN HILL RD,,,
MELROSE AV/E 150 ST,,,,,,0.428 SELECT BUS THE HUB 3AV - 149ST,,,,,,,,,,,,
WEBSTER AV/E 204 ST,,,,,1.316 SELECT BUS THE HUB 3AV - 149ST,,,,,,,0.934 SELECT BUS WLIMSBRIDGE GUN HILL RD,,,,,,
WHITE PLAINS RD/E GUN HILL RD,,,,,,,,0.415 SELECT BUS THE HUB 3AV - 149ST,,,,,,,,,,
WEBSTER AV/BEDFORD PK BL,,,0.716 SELECT BUS WLIMSBRIDGE GUN HILL RD,,,,0.907 SELECT BUS THE HUB 3AV - 149ST,,,,,,,,,,,
3 AVE/E 148 ST,,,,,,,,,,1.133 SELECT BUS WLIMSBRIDGE GUN HILL RD,,,,,,,,
WEBSTER AV/E FORDHAM RD,,,,,,,,,,,,,,,1.195 SELECT BUS THE HUB 3AV - 149ST,,,
WEBSTER AV/E GUN HILL RD,,,0.977 SELECT BUS THE HUB 3AV - 149ST,,,,,,,,,,,,,,,
WEBSTER AV/CLAREMONT PY,,,,,,,,,,,,,1.475 SELECT BUS THE HUB 3AV - 149ST,,,,,
MELROSE AV/E 161 ST,,,,,,,,,,,,,,,,0.781 SELECT BUS WLIMSBRIDGE GUN HILL RD,,
WEBSTER AV/CLAREMONT PKWY,0.968 SELECT BUS WLIMSBRIDGE GUN HILL RD,,,,,,,,,,,,,,,,,
WEBSTER AV/E GUN HILL AV,,,,0.446 SELECT BUS WLIMSBRIDGE GUN HILL RD,,,,,,,,,,,,,,
WEBSTER AV/E 170 ST,,,,,,,,,,,0.435 SELECT BUS WLIMSBRIDGE GUN HILL RD,,,,,0.827 SELECT BUS THE HUB 3AV - 149ST,,
WEBSTER AV/FORDHAM RD,,,,,0.898 SELECT BUS WLIMSBRIDGE GUN HILL RD,,,,,,,,,,,,,
WEBSTER AV/E 180 ST,0.56 SELECT BUS THE HUB 3AV - 149ST,,,,,,,,,,,,,1.195 SELECT BUS WLIMSBRIDGE GUN HILL RD,,,,4.742 to depot of Bx41-SBS
WEBSTER AV/E 167 ST,,,,,,,,,,,,,0.666 SELECT BUS WLIMSBRIDGE GUN HILL RD,,,,0.85 SELECT BUS THE HUB 3AV - 149ST,
MELROSE AV/E 160 ST,,0.821 SELECT BUS THE HUB 3AV - 149ST,,,,,,,,,,,,,,,,
West Farms Depot (WF),,,,,,,,,,,,,,,3.076 SELECT BUS THE HUB 3AV - 149ST,,,
