,MAIN ST/KISSENA BL,MAIN ST/MELBOURNE AV,CROSS BX SVC RD/CASTLE HILL AV,MAIN ST/39 AV,ARCHER AV/153 ST,E 180 ST/DEVOE AV,QUEENS BL/MAIN ST,MAIN ST/41 AV,MAIN ST/BOOTH MEMORIAL AV,MAIN ST/UNION TP,MAIN ST/139 ST,MAIN ST/38 AV,MAIN ST/63 AV,MAIN ST/JEWEL AV,MAIN ST/60 AV,PARSONS BL/14 AV,MAIN ST/73 AV,CROSS BX SVC RD/NEWBOLD AV,CROSS BX SVC RD/ZEREGA AV,ARCHER AV/MERRICK BL,SUTPHIN BL/JAMAICA AV,CROSS BX SVC RD/ROSDALE AV,DEVOE AV/WYATT AV,MAIN ST/HORACE HARDING EY N,UNION ST/26 AV,PARSONS BL/20 AV,MAIN ST/146 ST,E TREMONT AV/BOSTON RD,CROSS BX SVC RD/HAVILAND AV,MAIN ST/ELDER AV,LAFAYETTE AV/HUTCHINSON RVR PKY,ARCHER AV/158 ST,MERRICK BL/ARCHER AV,CROSS BX SVC RD S/BEACH AV,BOSTON RD/E 180 ST,UNION ST/BAYSIDE AV,UNION ST/31 RD,MAIN ST/UNION TPKE,WESTCHESTER AV/VIRGINIA AV,MAIN ST/MANTON ST,CROSS BX SVC RD/TAYLOR AV,HUTCHINSON RVR/LAFAYETTE AV,CROSS BX SVC RD/COMMONWEALTH AV,SUTPHIN BL/HILLSIDE AV,UNION ST/35 AV,HUGH GRANT CI /METROPOLITAN AV,BRUCKNER BL/BRUSH AV,CROSS BX SVC RD/PUGSLEY AV,BRUSH AV/BRUCKNER BL,College Point Depot (CP)
MAIN ST/KISSENA BL,,,,1.095 SELECT BUS BRONX ZOO via MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN ST/MELBOURNE AV,,,,,,,,,,,,,,0.494 SELECT BUS JAMAICA via MAIN ST,,,,,,,,,,,,,0.701 SELECT BUS BRONX ZOO via MAIN ST,,,,,,,,,,,,,,,,,,,,,,,
CROSS BX SVC RD/CASTLE HILL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.529 SELECT BUS JAMAICA via MAIN ST,,,
MAIN ST/39 AV,,,,0.0 SELECT BUS JAMAICA via MAIN ST,,,,0.538 SELECT BUS JAMAICA via MAIN ST,,,,0.07 SELECT BUS BRONX ZOO via MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCHER AV/153 ST,,,,,,,,,,,,,,,,,,,,,0.578 SELECT BUS BRONX ZOO via MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 180 ST/DEVOE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96 SELECT BUS BRONX ZOO via MAIN ST,,,,,,,,,,,,,,,
QUEENS BL/MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.417 SELECT BUS JAMAICA via MAIN ST,,,,,,
MAIN ST/41 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.902 SELECT BUS JAMAICA via MAIN ST,,,,,,,,,,,,,,,,,,,,
MAIN ST/BOOTH MEMORIAL AV,,,,,,,,,,,,,,,,,,,,,,,,0.54 SELECT BUS JAMAICA via MAIN ST,,,,,,0.497 SELECT BUS BRONX ZOO via MAIN ST,,,,,,,,,,,,,,,,,,,,
MAIN ST/UNION TP,,,,,,,,,,,1.411 SELECT BUS JAMAICA via MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN ST/139 ST,,,,,,,3.208 SELECT BUS JAMAICA via MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN ST/38 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74 SELECT BUS BRONX ZOO via MAIN ST,,,,,
MAIN ST/63 AV,,0.622 SELECT BUS JAMAICA via MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN ST/JEWEL AV,,0.491 SELECT BUS BRONX ZOO via MAIN ST,,,,,,,,,,,,,,,1.039 SELECT BUS JAMAICA via MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN ST/60 AV,,,,,,,,,0.38 SELECT BUS BRONX ZOO via MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARSONS BL/14 AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.555 SELECT BUS JAMAICA via MAIN ST,,,,,4.721 SELECT BUS BRONX ZOO via MAIN ST,,,,,,,,,,,,,,,,,,,
MAIN ST/73 AV,,,,,,,,,,1.375 SELECT BUS JAMAICA via MAIN ST,,,,0.605 SELECT BUS BRONX ZOO via MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROSS BX SVC RD/NEWBOLD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.436 SELECT BUS BRONX ZOO via MAIN ST,,,,
CROSS BX SVC RD/ZEREGA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506 SELECT BUS BRONX ZOO via MAIN ST,,,,,,,,,,,,,,,,,,,,,
ARCHER AV/MERRICK BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.202 SELECT BUS JAMAICA via MAIN ST,,,,,,,,,,,,,,,,,
SUTPHIN BL/JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.587 SELECT BUS JAMAICA via MAIN ST,,,,,,,,,,,,0.62 SELECT BUS BRONX ZOO via MAIN ST,,,,,,
CROSS BX SVC RD/ROSDALE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.077 SELECT BUS JAMAICA via MAIN ST,,,,,,,,,,,,,,,,
DEVOE AV/WYATT AV,,,,,,0.318 SELECT BUS BRONX ZOO via MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN ST/HORACE HARDING EY N,,,,,,,,,,,,,0.234 SELECT BUS JAMAICA via MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION ST/26 AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.949 SELECT BUS BRONX ZOO via MAIN ST,,,,,,,,,,,0.477 SELECT BUS JAMAICA via MAIN ST,,,,,,,,,,,,,
PARSONS BL/20 AV,,,,,,,,,,,,,,,,0.555 SELECT BUS BRONX ZOO via MAIN ST,,,,,,,,,0.949 SELECT BUS JAMAICA via MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN ST/146 ST,,,,,,,,,,,,,,,0.331 SELECT BUS BRONX ZOO via MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/BOSTON RD,,,,,,,,,,,,,,,,,,,,,,2.976 SELECT BUS JAMAICA via MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROSS BX SVC RD/HAVILAND AV,,,,,,,,,,,,,,,,,,0.615 SELECT BUS BRONX ZOO via MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN ST/ELDER AV,1.265 SELECT BUS BRONX ZOO via MAIN ST,,,,,,,,0.497 SELECT BUS JAMAICA via MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAFAYETTE AV/HUTCHINSON RVR PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.684 SELECT BUS BRONX ZOO via MAIN ST,
ARCHER AV/158 ST,,,,,,,,,,,,,,,,,,,,0.838 SELECT BUS JAMAICA via MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERRICK BL/ARCHER AV,,,,,0.984 SELECT BUS BRONX ZOO via MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROSS BX SVC RD S/BEACH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.572 SELECT BUS JAMAICA via MAIN ST,,,,,,,,,,,
BOSTON RD/E 180 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.342 SELECT BUS JAMAICA via MAIN ST,,,,,,,,,,,,,,,,,,,,,,
UNION ST/BAYSIDE AV,,,,,,,,,,,,,,,,,,,,,,,,,0.488 SELECT BUS BRONX ZOO via MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,7.639 to depot of Q44-SBS
UNION ST/31 RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.557 SELECT BUS JAMAICA via MAIN ST,,,,,
MAIN ST/UNION TPKE,,,,,,,,,,,,,,,,,0.874 SELECT BUS BRONX ZOO via MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTCHESTER AV/VIRGINIA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.087 SELECT BUS JAMAICA via MAIN ST,,
MAIN ST/MANTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95 SELECT BUS BRONX ZOO via MAIN ST,,,,,,,,,,,,
CROSS BX SVC RD/TAYLOR AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.384 SELECT BUS BRONX ZOO via MAIN ST,,,,,,,
HUTCHINSON RVR/LAFAYETTE AV,,,,,,,,,,,,,,,,5.078 SELECT BUS JAMAICA via MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROSS BX SVC RD/COMMONWEALTH AV,,,,,,,,,,,,,,,,,,,,,,,0.92 SELECT BUS BRONX ZOO via MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUTPHIN BL/HILLSIDE AV,,,,,,,,,,,,,,,,,,,,,0.433 SELECT BUS JAMAICA via MAIN ST,,,,,,,,,,,,,,,,,,,1.337 SELECT BUS BRONX ZOO via MAIN ST,,,,,,,,,,
UNION ST/35 AV,,,,1.135 SELECT BUS JAMAICA via MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.545 SELECT BUS BRONX ZOO via MAIN ST,,,,,,,,,,,,,,
HUGH GRANT CI /METROPOLITAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.484 SELECT BUS BRONX ZOO via MAIN ST,,,,,,,,,
BRUCKNER BL/BRUSH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.497 SELECT BUS JAMAICA via MAIN ST,,,,,,,,
CROSS BX SVC RD/PUGSLEY AV,,,0.0 SELECT BUS JAMAICA via MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRUSH AV/BRUCKNER BL,,,,,,,,,,,,,,,,,,,1.088 SELECT BUS BRONX ZOO via MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Point Depot (CP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.639 SELECT BUS BRONX ZOO via MAIN ST,,,,,,,,,,,,,,
