,STEUBEN ST/NARROWS RD S,MARSH AV/RING RD,ELTINGVILLE/TRANSIT CENTER,RICHMOND AV/ELTINGVILLE BL,HYLAN BL/LIBERTY AV,HYLAN BL/TYSENS LA,HYLAN BL/MIDLAND AV,RICHMOND AV/AUGUSTA AV,HYLAN BL/RENO AV,NARROWS RD N/FINGERBOARD RD,HYLAN BL/LINDBERGH AV,RICHMOND AV/GENESEE AV,HYLAN BL/JACQUES AV,92 ST/GATLING PL,HYLAN BL/QUINTARD ST,HYLAN BL/OLD TOWN RD,HYLAN BL/BUFFALO ST,RING RD/SEARS PLATINUM AV,4 AV/86 ST,HYLAN BL/NELSON AV,HYLAN BL/WINCHESTER AV,HYLAN BL/CLOVE RD,HYLAN BL/NORWAY AV,RICHMOND AV/HYLAN BL,HYLAN BL/BAY TERRACE,NARROWS RD S/FINGERBOARD RD,HYLAN BL/NEW DORP LA,NARROWS RD N/ST JOHNS AV,HYLAN BL/EBBITTS ST,RICHMOND AV/YUKON AV,92 ST/FT HAMILTON PY,HYLAN BL/SEAVIEW AV,HYLAN BL/GUYON AV,HYLAN BL/BAY TER,RING RD/MACYS PLATINUM AV,Yukon Depot (YU)
STEUBEN ST/NARROWS RD S,,,,,,,,,,,,,,,,,,,,,,,,,,0.682 SELECT BUS BAY RIDGE 86 ST STATION,,,,,,,,,,
MARSH AV/RING RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.639 SELECT BUS BAY RIDGE 86 ST STATION,
ELTINGVILLE/TRANSIT CENTER,,,,,,,,1.173 SELECT BUS BAY RIDGE 86 ST STATION,,,,,,,,,,,,,,,,,,,,,,2.774 SELECT BUS SI MALL via HYLAN,,,,,,
RICHMOND AV/ELTINGVILLE BL,,,,,,,,,,,,1.003 SELECT BUS SI MALL via HYLAN,,,,,,,,,1.638 SELECT BUS BAY RIDGE 86 ST STATION,,,,,,,,,,,,,,,
HYLAN BL/LIBERTY AV,,,,,,,,,,,,,,,1.633 SELECT BUS BAY RIDGE 86 ST STATION,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/TYSENS LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.476 SELECT BUS SI MALL via HYLAN,,,
HYLAN BL/MIDLAND AV,,,,,1.297 SELECT BUS BAY RIDGE 86 ST STATION,,,,,,,,,,,,,,,,,,,,,,1.009 SELECT BUS SI MALL via HYLAN,,,,,,,,,
RICHMOND AV/AUGUSTA AV,,,,0.922 SELECT BUS BAY RIDGE 86 ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/RENO AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263 SELECT BUS BAY RIDGE 86 ST STATION,,,,,,,
NARROWS RD N/FINGERBOARD RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.594 SELECT BUS SI MALL via HYLAN,,,,,,,,
HYLAN BL/LINDBERGH AV,,,,,,0.433 SELECT BUS SI MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/GENESEE AV,,,1.102 SELECT BUS SI MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/JACQUES AV,,,,,,,0.937 SELECT BUS BAY RIDGE 86 ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92 ST/GATLING PL,,,,,,,,,,,,,,,,,,,0.864 SELECT BUS BAY RIDGE 86 ST STATION,,,,,,,,,,,,,,,,,
HYLAN BL/QUINTARD ST,,,,,,,,,,,,,,,,,,,,,,,0.469 SELECT BUS BAY RIDGE 86 ST STATION,,,,,,,,,,,,,
HYLAN BL/OLD TOWN RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.175 SELECT BUS SI MALL via HYLAN,,,,
HYLAN BL/BUFFALO ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.377 SELECT BUS BAY RIDGE 86 ST STATION,0.601 SELECT BUS SI MALL via HYLAN,,
RING RD/SEARS PLATINUM AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.537 SELECT BUS BAY RIDGE 86 ST STATION,,,,,0.567 SELECT BUS SI MALL via HYLAN,
4 AV/86 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.011 SELECT BUS SI MALL via HYLAN,,,,,
HYLAN BL/NELSON AV,,,,,,,,,,,,,,,,,,,,,,,,1.18 SELECT BUS SI MALL via HYLAN,1.73 SELECT BUS BAY RIDGE 86 ST STATION,,,,,,,,,,,
HYLAN BL/WINCHESTER AV,,,,,,,,,,,,,,,,,,,,0.969 SELECT BUS BAY RIDGE 86 ST STATION,,,,,,,,,,,,,,,,
HYLAN BL/CLOVE RD,,,,,,,,,,,,,,,,0.62 SELECT BUS SI MALL via HYLAN,,,,,,,,,,,,,,,,,,,,
HYLAN BL/NORWAY AV,1.191 SELECT BUS BAY RIDGE 86 ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/HYLAN BL,,,,1.416 SELECT BUS SI MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/BAY TERRACE,,,,,,,,,,,,,,,,,0.886 SELECT BUS BAY RIDGE 86 ST STATION,,,,,,,,,,,,,,,,,,,
NARROWS RD S/FINGERBOARD RD,,,,,,,,,,,,,,4.332 SELECT BUS BAY RIDGE 86 ST STATION,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/NEW DORP LA,,,,,,,,,,,0.513 SELECT BUS SI MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,
NARROWS RD N/ST JOHNS AV,,,,,,,,,,,,,,,,,,,,,,1.369 SELECT BUS SI MALL via HYLAN,,,,,,,,,,,,,,
HYLAN BL/EBBITTS ST,,,,,,,,,,,,,0.627 SELECT BUS BAY RIDGE 86 ST STATION,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/YUKON AV,,,2.208 SELECT BUS BAY RIDGE 86 ST STATION,,,,,,,,,,,,,,,1.198 SELECT BUS SI MALL via HYLAN,,,,,,,,,,,,,,,,,,2.042 to depot of S79-SBS
92 ST/FT HAMILTON PY,,,,,,,,,,4.203 SELECT BUS SI MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/SEAVIEW AV,,,,,,,1.284 SELECT BUS SI MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/GUYON AV,,,,,,,,,0.623 SELECT BUS BAY RIDGE 86 ST STATION,,,,,,,,0.911 SELECT BUS SI MALL via HYLAN,,,,,,,,,,,,,,,,,,,
HYLAN BL/BAY TER,,,,,,,,,,,,,,,,,,,,1.554 SELECT BUS SI MALL via HYLAN,,,,,,,,,,,,,,,,
RING RD/MACYS PLATINUM AV,,0.943 SELECT BUS SI MALL via HYLAN,,,,,,,,,,,,,,,,0.567 SELECT BUS BAY RIDGE 86 ST STATION,,,,,,,,,,,,,,,,,,
Yukon Depot (YU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.796 SELECT BUS BAY RIDGE 86 ST STATION,,,,,,
