,MARSH AV/WINDHAM LOOP,RICHMOND AV/KATAN AV,RICHMOND AV/ MONSEY PL,RICHMOND AV/LAMBERTS LA,RT 440/34 ST HBLR STA LOOP,RICHMOND AV/RICHMOND HILL RD,MARSH AV/WESTPORT ST,MORNINGSTAR RD/FOREST  AV,RICHMOND AV/KOCH BL,RICHMOND AV/ROCKLAND AV,RICHMOND HILL RD/RICHMOND AV,HYLAN BL/RICHMOND AV,RICHMOND AV/CHRISTOPHER LA,RICHMOND AV/HYLAN BL,RICHMOND AV/MERRILL AV,RICHMOND AV/VICTORY BL,MARSH AV/RING RD,RICHMOND AV/MORANI ST,ELTINGVILLE/TRANSIT CENTER,RICHMOND AV/ELTINGVILLE BL,MORNINGSTAR RD/WALKER ST,Yukon Depot (YU)
MARSH AV/WINDHAM LOOP,,,,,,,0.722 LIMITED BAYONNE 34 ST-HBLR STA via RICH,,,,,,,,,,,,3.28 LIMITED ELTINGVILLE HYLAN BL via RCHMOND,,,7.443 to depot of S89
RICHMOND AV/KATAN AV,,,,,,,,,,,,,,,,,,,1.347 LIMITED BAYONNE 34 ST-HBLR STA via RICH,0.768 LIMITED ELTINGVILLE HYLAN BL via RCHMOND,,
RICHMOND AV/ MONSEY PL,,,,1.337 LIMITED ELTINGVILLE HYLAN BL via RCHMOND,,,,,,,,,,,,,,,,,,
RICHMOND AV/LAMBERTS LA,,,,,,,,,,,,,,,0.574 LIMITED ELTINGVILLE HYLAN BL via RCHMOND,,,,,,,
RT 440/34 ST HBLR STA LOOP,,,,,,,,,,,,,,,,,,,,,6.657 LIMITED ELTINGVILLE HYLAN BL via RCHMOND,
RICHMOND AV/RICHMOND HILL RD,,,,,,,,,,2.011 LIMITED BAYONNE 34 ST-HBLR STA via RICH,,,,,,,,,,,,
MARSH AV/WESTPORT ST,,,,,,0.888 LIMITED BAYONNE 34 ST-HBLR STA via RICH,,,,,,,,,,,,,,,,
MORNINGSTAR RD/FOREST  AV,,,,,,,,,,,,,,,,,,,,,0.688 LIMITED BAYONNE 34 ST-HBLR STA via RICH,
RICHMOND AV/KOCH BL,,,,,,,,,,,,0.876 LIMITED ELTINGVILLE HYLAN BL via RCHMOND,,,,,,,,0.802 LIMITED BAYONNE 34 ST-HBLR STA via RICH,,
RICHMOND AV/ROCKLAND AV,,,,,,,,,,,0.877 LIMITED ELTINGVILLE HYLAN BL via RCHMOND,,,,,2.559 LIMITED BAYONNE 34 ST-HBLR STA via RICH,,,,,,
RICHMOND HILL RD/RICHMOND AV,,,,,,,,,,,,,,,,,1.251 LIMITED ELTINGVILLE HYLAN BL via RCHMOND,,,,,
HYLAN BL/RICHMOND AV,,,,,,,,,,,,,,0.489 LIMITED BAYONNE 34 ST-HBLR STA via RICH,,,,,,,,
RICHMOND AV/CHRISTOPHER LA,,,,,,,,1.42 LIMITED BAYONNE 34 ST-HBLR STA via RICH,,,,,,,,,,,,,,
RICHMOND AV/HYLAN BL,,,,,,,,,0.623 LIMITED BAYONNE 34 ST-HBLR STA via RICH,,,,,,,,,,,,,
RICHMOND AV/MERRILL AV,,,,,,,,,,,,,,,,0.825 LIMITED ELTINGVILLE HYLAN BL via RCHMOND,,,,,,
RICHMOND AV/VICTORY BL,,,,,,,,,,1.452 LIMITED ELTINGVILLE HYLAN BL via RCHMOND,,,,,,,,0.852 LIMITED BAYONNE 34 ST-HBLR STA via RICH,,,,
MARSH AV/RING RD,1.372 LIMITED ELTINGVILLE HYLAN BL via RCHMOND,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/MORANI ST,,,,,,,,,,,,,1.011 LIMITED BAYONNE 34 ST-HBLR STA via RICH,,,,,,,,,
ELTINGVILLE/TRANSIT CENTER,2.765 LIMITED BAYONNE 34 ST-HBLR STA via RICH,1.339 LIMITED ELTINGVILLE HYLAN BL via RCHMOND,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/ELTINGVILLE BL,,0.766 LIMITED BAYONNE 34 ST-HBLR STA via RICH,,,,,,,0.96 LIMITED ELTINGVILLE HYLAN BL via RCHMOND,,,,,,,,,,,,,
MORNINGSTAR RD/WALKER ST,,,0.798 LIMITED ELTINGVILLE HYLAN BL via RCHMOND,,7.026 LIMITED BAYONNE 34 ST-HBLR STA via RICH,,,,,,,,,,,,,,,,,
Yukon Depot (YU),0.787 LIMITED BAYONNE 34 ST-HBLR STA via RICH,,,,,,,,,,,,,,,,,,,,,
