,ARDEN AV/HAMPTON GREEN,W 34 ST/BROADWAY,5 AV/W 54 ST,W 34 ST/6 AV,W 34 ST/7 AV,HYLAN BL/BARCLAY AV,MADISON AV/E 37 ST,ARDEN AV/ARTHUR KILL RD,ARDEN AV/KOCH BL,ARDEN AV/MOSELY AV,HYLAN BL/POILLON AV,ARDEN AV/BATHGATE ST,5 AV/W 59 ST,5 AV/W 38 ST,ARDEN AV/HAMPTON GRN,ARTHUR KILL RD/VETERANS RD E,MADISON AV/E 55  ST,5 AV/W 43 ST,HYLAN BL/ARDEN AV,VETRANS RD E/ARTHUR KILL RD,MADISON AV/E 59 ST,ARDEN AV/DRUMGOOLE RD W,W 34 ST/9 AV,MADISON AV/E 48 ST,5 AV/W 46 ST,ARDEN AV/ANNADALE RD,ARTHUR KILL RD/WEST SERVICE RD,ARDEN AV/WOODROW RD,W 34 ST/5 AV,W 34 ST/8 AV,ARDEN AV/CROWN AV,ARDEN AV/DRUMGOOLE RD E,ARTHUR KILL RD/ARDEN AV,E 34 ST/5 AV,Charleston Depot (CH)
ARDEN AV/HAMPTON GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.569 MIDTOWN via 34 ST via MADISON AV,,
W 34 ST/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.327 MIDTOWN via 34 ST via MADISON AV,
5 AV/W 54 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.583 ANNADALE via ARDEN AV,,,,,,,,,,
W 34 ST/6 AV,,,,,0.275 ANNADALE via ARDEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 34 ST/7 AV,,0.257 MIDTOWN via 34 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.271 ANNADALE via ARDEN AV,,,,,
HYLAN BL/BARCLAY AV,,,,,,,,,,,0.654 ANNADALE via ARDEN AV,0.652 MIDTOWN via 34 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 37 ST,,,,,,,,,,,,,,,,,,,,,,,,0.946 MIDTOWN via 34 ST via MADISON AV,,,,,,,,,,,
ARDEN AV/ARTHUR KILL RD,,,,,,,,,,,,,,,0.563 ANNADALE via ARDEN AV,,,,,,,,,,,,,,,,,,,,
ARDEN AV/KOCH BL,,,,,,,,,,0.883 MIDTOWN via 34 ST via MADISON AV,,,,,,,,,0.645 ANNADALE via ARDEN AV,,,,,,,,,,,,,,,,
ARDEN AV/MOSELY AV,,,,,,,,,0.883 ANNADALE via ARDEN AV,,,,,,,,,,,,,,,,,0.665 MIDTOWN via 34 ST via MADISON AV,,,,,,,,,
HYLAN BL/POILLON AV,,,,,,0.643 MIDTOWN via 34 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARDEN AV/BATHGATE ST,,,,,,,,,0.582 MIDTOWN via 34 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 59 ST,,,0.459 ANNADALE via ARDEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 38 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.342 ANNADALE via ARDEN AV,,,,,,
ARDEN AV/HAMPTON GRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.832 ANNADALE via ARDEN AV,,,,
ARTHUR KILL RD/VETERANS RD E,,,,,,,,1.34 ANNADALE via ARDEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 55  ST,,,,,,,,,,,,,,,,,,,,,0.33 MIDTOWN via 34 ST via MADISON AV,,,,,,,,,,,,,,
5 AV/W 43 ST,,,,,,,,,,,,,,0.383 ANNADALE via ARDEN AV,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/ARDEN AV,,,,,,0.577 ANNADALE via ARDEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VETRANS RD E/ARTHUR KILL RD,,,,,,,,,,,,,,,,,,,,,,,41.389 MIDTOWN via 34 ST via MADISON AV,,,,,,,,,,,,
MADISON AV/E 59 ST,,,,,,,,,,,,,0.38 ANNADALE via ARDEN AV,,,,,,,,,,,,,,,,,,,,,,
ARDEN AV/DRUMGOOLE RD W,,,,,,,,,,,,,,,,,,,,,,,,,,0.488 ANNADALE via ARDEN AV,,,,,,,,,
W 34 ST/9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,41.804 ANNADALE via ARDEN AV,,,0.277 MIDTOWN via 34 ST via MADISON AV,,,,,
MADISON AV/E 48 ST,,,,,,,,,,,,,,,,,0.524 MIDTOWN via 34 ST via MADISON AV,,,,,,,,,,,,,,,,,,
5 AV/W 46 ST,,,,,,,,,,,,,,,,,,0.277 ANNADALE via ARDEN AV,,,,,,,,,,,,,,,,,
ARDEN AV/ANNADALE RD,,,,,,,,,,0.665 ANNADALE via ARDEN AV,,,,,,,,,,,,,,,,,,,,,,0.402 MIDTOWN via 34 ST via MADISON AV,,,
ARTHUR KILL RD/WEST SERVICE RD,,,,,,,,,,,,,,,,3.214 ANNADALE via ARDEN AV,,,,,,,,,,,,,,,,,,,8.143 to depot of SIM23
ARDEN AV/WOODROW RD,0.733 MIDTOWN via 34 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 34 ST/5 AV,,,,0.309 ANNADALE via ARDEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 34 ST/8 AV,,,,,0.271 MIDTOWN via 34 ST via MADISON AV,,,,,,,,,,,,,,,,,,0.277 ANNADALE via ARDEN AV,,,,,,,,,,,,
ARDEN AV/CROWN AV,,,,,,,,,,,,,,,,,,,,,,0.548 ANNADALE via ARDEN AV,,,,,,,,,,,,,
ARDEN AV/DRUMGOOLE RD E,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.727 MIDTOWN via 34 ST via MADISON AV,,,,,,,
ARTHUR KILL RD/ARDEN AV,,,,,,,,,,,,,,,,,,,,0.68 MIDTOWN via 34 ST via MADISON AV,,,,,,,,,,,,,,,
E 34 ST/5 AV,,,,,,,1.011 MIDTOWN via 34 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleston Depot (CH),,,,,,,,,,,,,,,,,,,,,,,,,,,5.514 ANNADALE via ARDEN AV,,,,,,,,
